ĀQ	阿Q
ānnàbèilā	安娜贝拉
ānpái	安排
ānpínlèdào	安贫乐道
ānqìng	安庆
ānquán	安全
ānquánbǎomì	安全保密
ānquáncuòshī	安全措施
ānquándài	安全带
ānquándiànyā	安全电压
ānquánfá	安全阀
ānquángǎn	安全感
ānquánjiǎnchá	安全检查
ānquánjiàoyù	安全教育
ānquánlǐshìhuì	安全理事会
ānquánmào	安全帽
ānquánqī	安全期
ānquánqū	安全区
ānquánshēngchǎn	安全生产
ānquánxìshù	安全系数
ānquánxìtǒng	安全系统
ānquánxìng	安全性
ānquánzhuāngzhì	安全装置
ānrán	安然
ānránwúshì	安然无事
ānránwúyàng	安然无恙
ānrúpánshí	安如磐石
ānrútàishān	安如泰山
ānsāi	安塞
ānshàng	安上
ānshēn	安身
ānshēnlìmìng	安身立命
ānshēnzhīdì	安身之地
ānshǒuběnfèn	安守本分
āntǔzhòngqiān	安土重迁
āntuōwànnèitè	安托万内特
ānwēi	安危
ānwēiyǔgòng	安危与共
ānwèi	安慰
ānwěn	安稳
ānxī	安息
ānxiánzìdé	安闲自得
ānxiánzìzài	安闲自在
ānxiáng	安详
ānxiáng	安祥
ānxiē	安歇
ānxīn	安心
ānyì	安逸
ānyíngzhāzhài	安营扎寨
ānyú	安于
ānyúxiànzhuàng	安于现状
ānzàng	安葬
ānzhīruòsù	安之若素
ānzhì	安置
ānzhìlǜ	安置率
ānzhuāng	安装
ānshú	谙熟
āngāng	鞍钢
āngāngxiànfǎ	鞍钢宪法
ānmǎláodùn	鞍马劳顿
ānqiánmǎhòu	鞍前马后
ānshān	鞍山
ànbiān	岸边
ànpào	岸炮
ànshàng	岸上
ànbīngbùdòng	按兵不动
ànbù	按部
ànbùjiùbān	按部就班
ànguīdìng	按规定
ànjìhuà	按计划
ànláofēnpèi	按劳分配
ànláoqǔchóu	按劳取酬
ànlǐ	按理
ànlǐshuō	按理说
ànmài	按脉
ànnà	按捺
ànniǔ	按钮
ànqī	按期
ànshí	按时
ànshíwánchéng	按时完成
ànshuō	按说
àntúsuǒjì	按图索骥
ànxūfēnpèi	按需分配
ànyā	按压
ànyǔ	按语
ànzhào	按照
ànzhìlùnjià	按质论价
àndǐ	案底
ànfā	案发
ànfàn	案犯
ànjiàn	案件
ànjuàn	案卷
ànlì	案例
ànqíng	案情
ànyǔ	案语
ànzi	案子
ànàn	暗暗
ànbǎo	暗堡
àncáng	暗藏
ànchù	暗处
àndàn	暗淡
àndànwúguāng	暗淡无光
àndùchéncāng	暗度陈仓
àndùchéncāng	暗渡陈仓
ànhào	暗号
ànhé	暗合
ànhóng	暗红
ànjiānér	暗间儿
ànjiànnánfáng	暗箭难防
ànjiànshāngrén	暗箭伤人
ànlǜ	暗绿
ànsè	暗色
ànshā	暗杀
ànshā	暗沙
ànshì	暗示
ànsòngqiūbō	暗送秋波
ànwútiānrì	暗无天日
ànxià	暗下
ànyǔ	暗语
ànzhōng	暗中
ànzhōngmōsuǒ	暗中摸索
ànzhuǎn	暗转
ànránshīsè	黯然失色
ànránxiāohún	黯然销魂
āngzāng	肮脏
ángcáng	昂藏
ángguì	昂贵
ángrán	昂然
ángshǒu	昂首
ángshǒukuòbù	昂首阔步
ángshǒutǐngxiōng	昂首挺胸
ángshǒuwàngtiān	昂首望天
ángyáng	昂扬
àngrán	盎然
āotūbùpíng	凹凸不平
áoáodàibǔ	嗷嗷待哺
áoyóu	遨游
áotāng	熬汤
áoxiáng	翱翔
áozhàn	鏖战
niùjìn	拗劲
ǎojiāo	袄教
àogǔ	傲骨
àomàn	傲慢
àoqì	傲气
àorán	傲然
àorányìlì	傲然屹立
àodéhé	奥得河
àoěrdébólǐ	奥尔德伯里
àoěrdélǐqí	奥尔德里奇
àoěrdēngbǎo	奥尔登堡
àoěrdīngdùn	奥尔丁顿
àogésībǎo	奥格斯堡
àojīnláikè	奥金莱克
àokāngnèiěr	奥康内尔
àokèfútè	奥克福特
àokèlán	奥克兰
àokèlángǎng	奥克兰港
àolánjínà	奥兰吉那
àolègāngzhōu	奥勒冈州
àolèsōngshì	奥勒松市
àolínbōbǎo	奥林波堡
àolínpǐkè	奥林匹克
àolínpǐkèyùndònghuì	奥林匹克运动会
àomì	奥秘
àomiào	奥妙
àoshénzhōu	奥什州
àosībótè	奥斯伯特
àosīkǎ	奥斯卡
àosīlù	奥斯陆
àosīmǎqí	奥斯马奇
àosīwǎdé	奥斯瓦德
àotáojì	奥陶纪
àotáoxì	奥陶系
àotuōbókè	奥托博克
àowěihuì	奥委会
àoxīyēkè	奥西耶克
àoyùnhuì	奥运会
àodà	澳大
àodàlìyà	澳大利亚
àomén	澳门
àohuǐ	懊悔
àonǎo	懊恼
àosàng	懊丧
bābǎi	八百
bābàizhījiāo	八拜之交
bāchéng	八成
bādálǐng	八达岭
bādàchù	八大处
bādù	八度
bāfānghūyìng	八方呼应
bāfāngzhīyuán	八方支援
bāfēnyīnfú	八分音符
bāfēnzhīyī	八分之一
bāguàjiāo	八卦教
bājiǎohuíxiāng	八角茴香
bājiǎoxíng	八角形
bājiǔ	八九
bājiǔbù	八九不
bājiǔbùlíshí	八九不离十
bāmiànlínglóng	八面玲珑
bāmiànwēifēng	八面威风
bāshí	八十
bāshíniándài	八十年代
bātáidàjiào	八抬大轿
bāwàn	八万
bāwǔ	八五
bāwǔjìhuà	八五计划
bāxiānguòhǎi	八仙过海
bāxiǎoshí	八小时
bāhángshū	八行书
bāyī	八一
bāyījiànjūnjié	八一建军节
bāyuè	八月
bāyuèfèn	八月份
bāzìméiyīpiě	八字没一撇
bādòu	巴斗
bādùn	巴顿
bāěrdemó	巴尔的摩
bāěrgān	巴尔干
bāěrgèzhā	巴尔各扎
bāěrzhākè	巴尔扎克
bāfǔluòfū	巴甫洛夫
bāhāmǎ	巴哈马
bāhāmǎ	巴哈玛
bājiě	巴解
bājiězǔzhī	巴解组织
bākèlái	巴克莱
bākèlìwéiěr	巴克利维尔
bākèsītè	巴克斯特
bākèxiàzhū	巴克夏猪
bālādīngshān	巴拉丁山
bālāguī	巴拉圭
bālāguīduì	巴拉圭队
bālāhāsī	巴拉哈斯
bālākǎsī	巴拉卡斯
bālānàhé	巴拉那河
bālānuòwéiqí	巴拉诺维奇
bālèsītǎn	巴勒斯坦
bālídàxué	巴黎大学
bālítǒngchóuwěiyuánhuì	巴黎统筹委员会
bālǐluòqiē	巴里洛切
bālìālǐ	巴利阿里
bālìkǎsīěr	巴利卡斯尔
bāluòkè	巴洛克
bāluòkèshì	巴洛克式
bāsāilóngnà	巴塞隆那
bāsāiluónà	巴塞罗那
bāsāishèngsū	巴塞圣苏
bāshénjīěr	巴什基尔
bāsīgébó	巴斯格伯
bāsīkǎěr	巴斯卡尔
bāwàng	巴望
bāyàn	巴彦
bāchē	扒车
págāo	扒糕
pájī	扒鸡
bākāi	扒开
bālí	扒犁
páqiè	扒窃
páshǒu	扒手
bādā	吧哒
bājī	吧唧
bānǚ	吧女
bājiāoshàn	芭蕉扇
bāhén	疤痕
bādǒu	笆斗
bádāoxiāngzhù	拔刀相助
bádì	拔地
bádìérqǐ	拔地而起
bágāo	拔高
bájiān	拔尖
bájiéqī	拔节期
bámiáozhùzhǎng	拔苗助长
báshāngāngdǐng	拔山扛鼎
bátuǐjiùpǎo	拔腿就跑
báshānshèshuǐ	跋山涉水
báshè	跋涉
bǎbǐng	把柄
bǎchí	把持
bǎmài	把脉
bǎshǒu	把守
bǎwò	把握
bǎxì	把戏
bàbɑ	爸爸
bàbǐ	罢笔
bàbīng	罢兵
bàchù	罢黜
bāchùbǎijiā	罢黜百家
bàgōng	罢工
bàguān	罢官
bàjiào	罢教
bàkè	罢课
bàle	罢了
bàlùn	罢论
bàmiǎn	罢免
bàmiǎnquán	罢免权
bàshì	罢市
bàshǒu	罢手
bàxiū	罢休
bàyǎn	罢演
bàzhí	罢职
bàquán	霸权
bàquánzhǔyì	霸权主义
bàwáng	霸王
bàwángbiān	霸王鞭
bàwángbiéjī	霸王别姬
bàzhàn	霸占
bàzhǔ	霸主
báibìwēixiá	白璧微瑕
báibìwúxiá	白璧无瑕
báicài	白菜
báichī	白痴
báidā	白搭
báifà	白发
báifàcāngcāng	白发苍苍
báifèi	白费
báifèilìqi	白费力气
báigān	白干
báigěi	白给
báigōng	白宫
báigǔ	白骨
báigǔjīng	白骨精
báihuāshé	白花蛇
báihuǎnghuǎng	白晃晃
báijiāngjūn	白僵菌
báijūguòxì	白驹过隙
báijuàn	白卷
báikèsīléi	白克斯雷
báilà	白蜡
báilàchóng	白蜡虫
báilàshù	白蜡树
báiliánjiāo	白莲教
báiliúshí	白榴石
báilù	白露
báimǎwángzǐ	白马王子
báimáyǐ	白蚂蚁
báimángmáng	白茫茫
báimēngmēng	白蒙蒙
báimiànshūshēng	白面书生
báinèizhàng	白内障
báiqiānkuàng	白铅矿
báiqū	白区
báirèhuà	白热化
báirìjiànguǐ	白日见鬼
báirìzuòmèng	白日作梦
báirìzuòmèng	白日做梦
báisè	白色
báisèkǒngbù	白色恐怖
báisètǐ	白色体
báishālìyà	白沙利亚
báishāwǎ	白沙瓦
báishāxiàn	白沙县
báishāzhèn	白沙镇
báishānhēishuǐ	白山黑水
báishéchuán	白蛇传
báishí	白食
báishǒuqǐjiā	白手起家
báishù	白术
báishuāshuā	白刷刷
báishuǐní	白水泥
báishuō	白说
báitāng	白汤
báitiān	白天
báitiáo	白条
báitóufɑ	白头发
báitóuxiélǎo	白头偕老
báixuě	白雪
báixuěáiái	白雪皑皑
báixuèbìng	白血病
báixuèqiú	白血球
báiyī	白衣
báiyītiānshǐ	白衣天使
báiyīzhànshì	白衣战士
báiyín	白银
báiyún	白云
báiyúncānggǒu	白云苍狗
báiyúnguàn	白云观
báiyúnshí	白云石
báizhǐ	白纸
báizhǐhēizì	白纸黑字
báizhǒng	白种
báizhǒngrén	白种人
báizhòu	白昼
báizú	白族
bǎibān	百般
bǎibāndiāonàn	百般刁难
bǎibèi	百倍
bǎibùchuānyáng	百步穿杨
bǎichuānguīhǎi	百川归海
bǎidúbùyàn	百读不厌
bǎifābǎizhòng	百发百中
bǎifèidàijǔ	百废待举
bǎifèidàixìng	百废待兴
bǎifèijùxìng	百废具兴
bǎifèijùxīng	百废俱兴
bǎifēnbǐ	百分比
bǎifēnbiǎo	百分表
bǎifēnchǐ	百分尺
bǎifēndiǎn	百分点
bǎifēnhào	百分号
bǎifēnlǜ	百分率
bǎifēnshù	百分数
bǎifēnzhī	百分之
bǎifēnzhībǎi	百分之百
bǎifēnzhīyī	百分之一
bǎifēnzhì	百分制
bǎigǎnjiāojí	百感交集
bǎihé	百合
bǎihéhuā	百合花
bǎihuāqífàng	百花齐放
bǎihuò	百货
bǎihuòdàlóu	百货大楼
bǎihuògōngsī	百货公司
bǎihuòshāngdiàn	百货商店
bǎijiāzhēngmíng	百家争鸣
bǎikē	百科
bǎikēquánshū	百科全书
bǎikǒngqiānchuāng	百孔千疮
bǎikǒumòbiàn	百口莫辩
bǎilǐ	百里
bǎilǐtiāoyī	百里挑一
bǎiliànchénggāng	百炼成钢
bǎimáng	百忙
bǎimǐsàipǎo	百米赛跑
bǎimùdà	百慕大
bǎinàyī	百衲衣
bǎinián	百年
bǎiniánbùyù	百年不遇
bǎiniándàjì	百年大计
bǎiniánhǎohé	百年好合
bǎiniánnányù	百年难遇
bǎiniánshùrén	百年树人
bǎiniánzhīhǎo	百年之好
bǎiniánzhīhòu	百年之后
bǎiniǎocháofèng	百鸟朝凤
bǎiniǎozhīwáng	百鸟之王
bǎirìhāi	百日咳
bǎisè	百色
bǎisèshì	百色市
bǎishìkělè	百事可乐
bǎishìtōng	百事通
bǎisībùdé	百思不得
bǎisībùdéqíjiě	百思不得其解
bǎisībùjiě	百思不解
bǎituándàzhàn	百团大战
bǎiwàn	百万
bǎiwànfùwēng	百万富翁
bǎiwànxióngshī	百万雄师
bǎiwén	百闻
bǎiwénbùrúyījiàn	百闻不如一见
bǎiwújìnjì	百无禁忌
bǎiwúliáolài	百无聊赖
bǎiwúyīshī	百无一失
bǎiwúyīyòng	百无一用
bǎixì	百戏
bǎixìng	百姓
bǎiyèdàixìng	百业待兴
bǎiyībǎishùn	百依百顺
bǎizhànbǎishèng	百战百胜
bǎizhànbùdài	百战不殆
bǎizhébùhuí	百折不回
bǎizhébùnáo	百折不挠
bǎilātú	柏拉图
bǎilǐcūn	柏里村
bólín	柏林
bólínqiáng	柏林墙
bólínshì	柏林市
bólínzhōu	柏林州
bǎimù	柏木
bǎishù	柏树
bǎiyóu	柏油
bǎiyóulù	柏油路
bǎichòujiàzi	摆臭架子
bǎidòng	摆动
bǎidù	摆渡
bǎikuòqì	摆阔气
bǎinòng	摆弄
bǎituō	摆脱
bǎizhèng	摆正
bàiběi	败北
bàibùněi	败不馁
bàihuài	败坏
bàijì	败绩
bàijiāng	败将
bàijú	败局
bàijūnzhījiàng	败军之将
bàilèi	败类
bàilù	败露
bàiluò	败落
bàiwáng	败亡
bàixìng	败兴
bàixìngérguī	败兴而归
bàixuèbìng	败血病
bàixuèzhèng	败血症
bàizhàng	败仗
bàizhèn	败阵
bàibié	拜别
bàidǎo	拜倒
bàidú	拜读
bàifǎng	拜访
bàifó	拜佛
bàihuì	拜会
bàihuǒjiāo	拜火教
bàijiàn	拜见
bàikènǔěr	拜克努尔
bàinián	拜年
bàisǎo	拜扫
bàishī	拜师
bàituō	拜托
bàiwùjiāo	拜物教
bàizhàntíng	拜占庭
bàiguānyěshǐ	稗官野史
bānbùdǎoér	扳不倒儿
bāndǎo	扳倒
bānbùlǐqí	班布里奇
bānzhǎng	班长
bānchē	班车
bāncì	班次
bāndǐ	班底
bānhuì	班会
bānjī	班机
bānjí	班级
bānkèluófūtè	班克罗夫特
bānkèsītáng	班克斯塘
bānlún	班轮
bānménnòngfǔ	班门弄斧
bānqī	班期
bānwùhuì	班务会
bānzhǔrèn	班主任
bānzi	班子
bānzǔ	班组
bānzǔzhǎng	班组长
bānbù	颁布
bānfā	颁发
bānjiǎng	颁奖
bānxíng	颁行
bānbólùlí	斑驳陆离
bāndiǎn	斑点
bānlán	斑斓
bānwén	斑纹
bāndiào	搬掉
bānjiā	搬家
bānnòng	搬弄
bānnòngshìfēi	搬弄是非
bānqǐshítouzázìjǐdejiǎo	搬起石头砸自己的脚
bānyùn	搬运
bānzǒu	搬走
bǎnbào	板报
bǎncái	板材
bǎnchē	板车
bǎndèng	板凳
bǎnjié	板结
bǎnpū	板铺
bǎnshàngdìngdīng	板上钉钉
bǎnshí	板石
bǎnshì	板式
bǎnshuā	板刷
bǎnwǎ	板瓦
bǎnzheliǎn	板着脸
bǎnběn	版本
bánběnhào	版本号
bǎnhuà	版画
bǎnmiàn	版面
bǎnquán	版权
bǎnquánsuǒyǒu	版权所有
bǎntú	版图
bànàn	办案
bànbān	办班
bànbùdào	办不到
bànchǎng	办厂
bàndedào	办得到
bànfǎ	办法
bàngōng	办公
bàngōngchù	办公处
bàngōngfèi	办公费
bàngōnghuìyì	办公会议
bàngōnglóu	办公楼
bàngōngqū	办公区
bàngōngshíjiān	办公时间
bàngōngshì	办公室
bàngōngtīng	办公厅
bàngōngzhuō	办公桌
bàngōngzìdònghuà	办公自动化
bànjié	办结
bànlǐ	办理
bànsāngshì	办丧事
bànshì	办事
bànshìchù	办事处
bànshìyuán	办事员
bàntuǒ	办妥
bànxué	办学
bànbànlǎlā	半半拉拉
bànbèizǐ	半辈子
bànbìjiāngshān	半壁江山
bànbiāntiān	半边天
bànchǎng	半场
bànchéngpǐn	半成品
bàndà	半大
bàndǎotǐ	半导体
bàndǎo	半岛
bàngè	半个
bàngèduōshìjì	半个多世纪
bàngèshìjì	半个世纪
bàngōngbàndú	半工半读
bànjīxièhuà	半机械化
bànjià	半价
bànjiǎo	半角
bànjiérùtǔ	半截入土
bànjīnbāliǎng	半斤八两
bànjìng	半径
bànjuésài	半决赛
bànkōng	半空
bànkōngzhōng	半空中
bànlǎ	半拉
bànlǎzǐ	半拉子
bànláodònglì	半劳动力
bànlù	半路
bànlùchūjiā	半路出家
bànmiànzhījiāo	半面之交
bànshēnbùsuí	半身不遂
bànshēngbùshú	半生不熟
bànshù	半数
bànshùyǐshàng	半数以上
bànshuāiqī	半衰期
bànsǐbùhuó	半死不活
bàntú	半途
bàntúérfèi	半途而废
bàntuībànjiù	半推半就
bàntūnbàntǔ	半吞半吐
bàntuōchǎn	半脱产
bànwénmáng	半文盲
bànwúchǎnjiējí	半无产阶级
bànxìnbànyí	半信半疑
bànyè	半夜
bànyèsāngēng	半夜三更
bànyuán	半圆
bànyuè	半月
bànyuèkān	半月刊
bànzhēnbànjiǎ	半真半假
bànzhījūn	半知菌
bànzhímíndì	半殖民地
bànzìdòng	半自动
bànzìdònghuà	半自动化
bàndú	伴读
bànláng	伴郎
bànlǚ	伴侣
bànsuí	伴随
bànxì	扮戏
bànyǎn	扮演
bànzuò	扮作
bànhuò	拌和
bànzhǒng	拌种
bàndǎo	绊倒
bànjiǎoshí	绊脚石
bāngjiāo	邦交
bāngjiāozhèngchánghuà	邦交正常化
bāngdǎománg	帮倒忙
bānggōng	帮工
bānghuì	帮会
bāngjiāo	帮教
bāngmáng	帮忙
bāngpài	帮派
bāngxiōng	帮凶
bāngzhù	帮助
bǎngjià	绑架
bǎngshàngwúmíng	榜上无名
bǎngshàngyǒumíng	榜上有名
bǎngshǒu	榜首
bǎngyàng	榜样
bǎngdàyāoyuán	膀大腰圆
pángguāngjiéshí	膀胱结石
bèngbù	蚌埠
bàngké	蚌壳
bàngrénménhù	傍人门户
bàngwǎn	傍晚
bànghē	棒喝
bàngqiúchǎng	棒球场
bàngbáo	磅薄
pángbó	磅礴
bāobàn	包办
bāobàndàitì	包办代替
bāobì	包庇
bāocáng	包藏
bāocáng-huòxīn	包藏祸心
bāochǎn	包产
bāochǎndàohù	包产到户
bāochǎng	包场
bāochē	包车
bāochéngzhì	包乘制
bāochéngzǔ	包乘组
bāogān	包干
bāogāndàohù	包干到户
bāogānzhì	包干制
bāogōng	包工
bāoguǒ	包裹
bāoguǒdān	包裹单
bāohán	包含
bāojiān	包间
bāokuò	包括
bāolǎn	包揽
bāoluówànxiàng	包罗万象
bāopéi	包赔
bāoróng	包容
bāotuì	包退
bāowéi	包围
bāowéiquān	包围圈
bāoxiāo	包销
bāoxiū	包修
bāoyī	包衣
bāozā	包扎
bāozhuāng	包装
bāozhuāngfèi	包装费
bāozi	包子
bāozipū	包子铺
bāozū	包租
bāobō	胞波
bāodì	胞弟
bāohé	胞核
bāomèi	胞妹
bāoxiōng	胞兄
bāoyī	胞衣
bāotāng	煲汤
bāojiǎng	褒奖
bāoyáng	褒扬
bāoyì	褒义
báobào	雹暴
báozāi	雹灾
bǎoānqū	宝安区
bǎobǎo	宝宝
bǎobèi	宝贝
bǎozàng	宝藏
bǎodāobùlǎo	宝刀不老
bǎodǎo	宝岛
bǎodì	宝地
bǎogàiér	宝盖儿
bǎogàitóu	宝盖头
bǎogāng	宝钢
bǎoguì	宝贵
bǎohào	宝号
bǎojuǎn	宝卷
bǎokù	宝库
bǎorìxīlè	宝日希勒
bǎoshānkōnghuí	宝山空回
bǎoshí	宝石
bǎoshízhóuchéng	宝石轴承
bǎoxìngxiàn	宝兴县
bǎozhōngzhībǎo	宝中之宝
bǎozuò	宝座
bǎocháng	饱尝
bǎohán	饱含
bǎohé	饱合
bǎohé	饱和
bǎohuòdiǎn	饱和点
bǎohédiànliú	饱和电流
bǎohédù	饱和度
bǎohéliàng	饱和量
bǎohéqì	饱和器
bǎohéróngyè	饱和溶液
bǎohésè	饱和色
bǎohézhuàngtài	饱和状态
bǎojīngcāngsāng	饱经沧桑
bǎojīngfēngshuāng	饱经风霜
bǎomǎn	饱满
bǎoshí	饱食
bǎoshízhōngrì	饱食终日
bǎoxuézhīshì	饱学之士
bǎoyǐlǎoquán	饱以老拳
bǎoān	保安
bǎoběn	保本
bǎobiāo	保镖
bǎocáng	保藏
bǎozhǎng	保长
bǎochí	保持
bǎochíjǐngtì	保持警惕
bǎocún	保存
bǎocúnqī	保存期
bǎodān	保单
bǎodǐ	保底
bǎodìng	保定
bǎoguǎn	保管
bǎoguǎnyuán	保管员
bǎohù	保护
bǎohùcéng	保护层
bǎohùguó	保护国
bǎohùjià	保护价
bǎohùqū	保护区
bǎohùrén	保护人
bǎohùsè	保护色
bǎohùzhǔyì	保护主义
bǎojiāwèiguó	保家卫国
bǎojià	保价
bǎojiàxìn	保价信
bǎojiàn	保健
bǎojiāo	保教
bǎoliàng	保量
bǎoliú	保留
bǎomì	保密
bǎonuǎn	保暖
bǎoshǒu	保守
bǎoshǒupài	保守派
bǎoshuìqū	保税区
bǎotōngshè	保通社
bǎowàizhíxíng	保外执行
bǎowèi	保卫
bǎowèizǔguó	保卫祖国
bǎowēn	保温
bǎowēnpíng	保温瓶
bǎoxiān	保鲜
bǎoxiānjì	保鲜剂
bǎoxiǎn	保险
báoxiǎndān	保险单
bǎoxiǎnfèi	保险费
báoxiǎnfèilǜ	保险费率
bǎoxiǎngōngsī	保险公司
bǎoxiǎnguì	保险柜
bǎoxiǎnqī	保险期
bǎoxiǎnyè	保险业
bǎoxiū	保修
bǎoxiūqī	保修期
bǎoyǎng	保养
bǎoyòngqī	保用期
bǎoyù	保育
bǎoyùyuán	保育员
bǎoyùyuàn	保育院
bǎozhàng	保障
bǎozhēndù	保真度
bǎozhèng	保证
bǎozhènggōngyìng	保证供应
bǎozhèngjīn	保证金
bǎozhènglǜ	保证率
bǎozhèngshū	保证书
bǎozhí	保值
bǎozhì	保质
bǎozhìqī	保质期
bǎozhòng	保重
bǎozhù	保住
bǎoāncūn	堡安村
bǎolěi	堡垒
bǎozhài	堡寨
bǔzǐ	堡子
bàoàn	报案
bàobiǎo	报表
bàochóu	报仇
bàochóuxuěhèn	报仇雪恨
bàodá	报答
bàodān	报单
bàodào	报到
bàodào	报道
bàoēn	报恩
bàofèi	报废
bàofù	报复
bàogào	报告
bàogàodān	报告单
bàogàohuì	报告会
bàogàotuán	报告团
bàoguānxíng	报关行
bàoguó	报国
bàojiá	报夹
bàojià	报价
bàojiàdān	报价单
bàojié	报捷
bàojiè	报界
bàojǐng	报警
bàokān	报刊
bàokānzázhì	报刊杂志
bàokǎo	报考
bàomíng	报名
bàopī	报批
bàoqǐng	报请
bàosāng	报丧
bàoshè	报社
bàoshěn	报审
bàoshí	报时
bàoshù	报数
bàosòng	报送
bàotóu	报头
bàowù	报务
bàoxǐ	报喜
bàoxiāo	报销
bàoxiào	报效
bàoyè	报业
bàoyìng	报应
bàoyōu	报忧
bàozhàng	报帐
bàozhǐ	报纸
bàozhǐjiá	报纸夹
bàobìng	抱病
bàocánshǒuquē	抱残守缺
bàofójiǎo	抱佛脚
bàofù	抱负
bàohènzhōngtiān	抱恨终天
bàoqiàn	抱歉
bàotóudàkū	抱头大哭
bàotóushǔcuàn	抱头鼠窜
bàoxīnjiùhuǒ	抱薪救火
bàoyuàn	抱怨
bàomāo	豹猫
bàosǐliúpí	豹死留皮
bàotóuhuányǎn	豹头环眼
bàobó	鲍伯
bàolǐsuǒfū	鲍里索夫
bàoyúzhīsì	鲍鱼之肆
bàozànkètè	鲍赞克特
bàobìng	暴病
bàodiē	暴跌
bàodòng	暴动
bàofā	暴发
bàofāhù	暴发户
bàofēng	暴风
bàofēngxuě	暴风雪
bàofēngyǔ	暴风雨
bàofēngzhòuyǔ	暴风骤雨
bàofù	暴富
bàoguāng	暴光
bàohóng	暴洪
bàohǔpínghé	暴虎冯河
bàojǔ	暴举
bàojūn	暴君
bàokè	暴客
bàolì	暴力
bàolìgémìng	暴力革命
bàolìhuà	暴力化
bàolì	暴利
bàolì	暴戾
bàolìzìsuī	暴戾恣睢
bàoliǎn	暴敛
bàoliè	暴烈
bàolù	暴露
bàolùwénxué	暴露文学
bàolùwúyí	暴露无遗
bàoluàn	暴乱
bàonù	暴怒
bàonüè	暴虐
pùshài	暴晒
bàosǐ	暴死
bàotiǎntiānwù	暴殄天物
bàotiào	暴跳
bàotiàorúléi	暴跳如雷
bàotū	暴突
bàotú	暴徒
bàoxíng	暴行
bàoyǐnbàoshí	暴饮暴食
bàoyǔ	暴雨
bàozào	暴燥
bàozào	暴躁
bàozhǎng	暴涨
bàozhèng	暴政
bàozú	暴卒
bàofā	爆发
bàofāhù	爆发户
bàofālì	爆发力
bàofāxīng	爆发星
bàofāyīn	爆发音
bàolěngmén	爆冷门
bàoliè	爆裂
bàomǎn	爆满
bàopòzuòyè	爆破作业
bàozhà	爆炸
bàozhàbō	爆炸波
bàozhàlì	爆炸力
bàozhàpǐn	爆炸品
bàozhàwù	爆炸物
bàozhàxìng	爆炸性
bēibǐ	卑鄙
bēibǐwòchuò	卑鄙龌龊
bēibǐwúchǐ	卑鄙无耻
bēigōngqūxī	卑躬屈膝
bēiliè	卑劣
bēixià	卑下
bēigōngshéyǐng	杯弓蛇影
bēipánlángjí	杯盘狼藉
bēisài	杯赛
bēishuǐchēxīn	杯水车薪
bēizhōngwù	杯中物
bēiāi	悲哀
bēicǎn	悲惨
bēifèn	悲愤
bēiguān	悲观
bēiguānshīwàng	悲观失望
bēiguānzhǔyì	悲观主义
bēihào	悲号
bēihuānlíhé	悲欢离合
bēijù	悲剧
bēiliáng	悲凉
bēiqiē	悲切
bēishāng	悲伤
bēitiānmǐnrén	悲天悯人
bēitòng	悲痛
bēixǐjiāojí	悲喜交集
bēiyè	悲咽
bēizhuàng	悲壮
bēishí	碑石
bēitiè	碑帖
běibian	北边
běibù	北部
běicè	北侧
Běi Cháo	北朝
běi Cháoxiǎn	北朝鲜
běidà	北大
běidàcāng	北大仓
běidàhuāng	北大荒
běidàxīyáng	北大西洋
běidàihé	北戴河
běidǒu	北斗
běidǒuxīng	北斗星
běifāng	北方
běifēng	北风
běiguó	北国
běihǎi	北海
běijí	北极
běijíquān	北极圈
běijíxīng	北极星
běijiāng	北疆
Běijīng	北京
Běijīngdàxué	北京大学
Běijīngdiànshìtái	北京电视台
Běijīngjūnqū	北京军区
Běijīngrén	北京人
Běijīng shíjiān	北京时间
Běijīngshì	北京市
Běiměi	北美
běimiàn	北面
Běi Ōu	北欧
běiqǔ	北曲
Běishīdà	北师大
běiwěi	北纬
Běiyuē	北约
bèifúlǐqí	贝弗里奇
bèikǎ	贝卡
bèiké	贝壳
bèikèlái	贝克莱
bèikèlèěr	贝克勒耳
bèikèsàqū	贝克萨区
bèilè	贝勒
bèiluòkè	贝洛克
bèinímàilālè	贝尼迈拉勒
bèinísūwéifū	贝尼苏韦夫
bèiàn	备案
bèichá	备查
bèiérbùyòng	备而不用
bèifèn	备份
bèifùjīnlǜ	备付金率
bèigēng	备耕
bèihuāng	备荒
bèijiàn	备件
bèikè	备课
bèiliào	备料
bèiqí	备齐
bèiwànglù	备忘录
bèiyòng	备用
bèiyòngjīn	备用金
bèiyǒu	备有
bèizhàn	备战
bèizhù	备注
bèibāo	背包
bēibāofu	背包袱
bèichéngjièyī	背城借一
bèidàoérchí	背道而驰
bèidìli	背地里
bèiduìbèi	背对背
bèifēngchù	背风处
bēifù	背负
bèihòu	背后
bèijǐnglíxiāng	背井离乡
bèijǐng	背景
bèilí	背离
bèimiàn	背面
bèipàn	背叛
bèishú	背熟
bèishuǐyīzhàn	背水一战
bèixìnqìyì	背信弃义
bèiyīn	背阴
bèiyuē	背约
